,
"Marktkapitalisierung, in Mio.",Company
40401.43,ABB Ltd.
9153.04,Adecco Group AG
28301.03,Alcon Inc.
3684.46,ams AG
8083.05,Bâloise Holding AG
10283.49,Barry Callebaut AG
3264.61,Bucher Industries AG
6134.14,Clariant AG
28528.37,Credit Suisse Group AG
2843.51,dormakaba Holding AG
3979.02,DUFRY AG
14054.71,Ems-Chemie Holding AG
5294.51,Flughafen Zürich AG
16064.03,Geberit AG
3612.37,Georg Fischer AG 
24140.4,Givaudan SA
5790.87,Helvetia Holding AG
9139.08,Julius Bär Gruppe AG
16101.63,Kühne + Nagel International AG
28088.32,LafargeHolcim Ltd
6285.52,Logitech International S.A.
23298.04,Lonza Group AG
286794.69,Nestlé AG
215661.7,Novartis AG
3862.67,"OC Oerlikon Corporation AG, Pfäffikon"
19429.38,Partners Group Holding AG
4994.94,PSP Swiss Property AG
42171.23,Roche Holding AG
21959.36,Schindler Holding AG
17855.1,SGS SA
22578.54,Sika AG
13652.09,Sonova Holding AG
13150.67,Straumann Holding AG
3125.64,Sunrise Communications Group AG
17370,Swiss Life Holding AG
6055.28,Swiss Prime Site AG
69980.85,Swiss Re AG
24185.79,Swisscom AG
11638.94,Temenos AG
42931.22,UBS Group AG
3474.53,VAT Group AG
8486.46,Vifor Pharma AG
48573.61,Zurich Insurance Group AG