Company,
ABB Ltd.,
Adecco Group AG,
Alcon Inc.,
ams AG,
Bâloise Holding AG,
Barry Callebaut AG,
Bucher Industries AG,
Clariant AG,
Credit Suisse Group AG,
dormakaba Holding AG,
DUFRY AG,
Ems-Chemie Holding AG,
Georg Fischer AG,
Flughafen Zürich AG,
Geberit AG,
Givaudan SA,
Helvetia Holding AG,
Julius Bär Gruppe AG,
Kühne + Nagel International AG,
LafargeHolcim Ltd,
Logitech International S.A.,
Lonza Group AG,
Nestlé AG,
Novartis AG,
"OC Oerlikon Corporation AG, Pfäffikon",
Partners Group Holding AG,
PSP Swiss Property AG,
Roche Holding AG,
Schindler Holding AG,
SGS SA,
Sika AG,
Sonova Holding AG,
Straumann Holding AG,
Sunrise Communications Group AG,
Swiss Life Holding AG,
Swiss Prime Site AG,
Swiss Re AG,
Swisscom AG,
Temenos AG,
UBS Group AG,
VAT Group AG,
Vifor Pharma AG,
Zurich Insurance Group AG,