,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Anteil,Unnamed: 1_x,Company,BO,DS,Country,Unnamed: 1_y
0,22,25,0,3.44,0.0,Swisscom AG,Blackrock,,USA,
1,23,26,1,65.5,0.0,Swisscom AG,Eidgenossenschaft,,Schweiz,
2,24,28,0,0.05,0.0,Sika AG,Sika AG,,Schweiz,
3,25,29,1,10.0,0.0,Sika AG,Compagnie de Saint-Gobain,,France,
4,26,30,2,3.03,0.0,Sika AG,Massachusetts Financial Services Company,,USA,
5,27,31,3,3.369,0.0,Sika AG,"The Capital Group Companies, Inc.",,USA,
6,28,32,4,2.65,0.0,Sika AG,William H. Gates III,,USA,
7,29,33,5,2.65,1.0,Sika AG,Melinda French Gates,Cascade Investment L.L.C.,USA,
8,30,34,6,7.7,0.0,Sika AG,Blackrock,,USA,
9,63,75,0,3.004,0.0,Novartis AG,"The Capital Group Companies, Inc.",,USA,
10,64,76,1,3.30169,0.0,Novartis AG,Emasan AG,,Schweiz,
11,65,77,2,4.14,0.0,Novartis AG,"BlackRock, Inc., New York, NY, U.S.A. (Mother Company)",,Schweiz,
12,66,78,3,5.0079,0.0,Novartis AG,Novartis AG,,Schweiz,
13,77,95,0,5.21,0.0,Geberit AG,Blackrock,,USA,
14,78,97,0,3.09,0.0,Swiss Life Holding AG,UBS Fund Management (Switzerland) AG,,Schweiz,
15,79,98,1,5.0157,0.0,Swiss Life Holding AG,Swiss Life Holding AG,,Schweiz,
16,80,99,2,5.28,0.0,Swiss Life Holding AG,Blackrock,,USA,
17,88,108,0,6.93,0.0,Givaudan SA,William H. III Gates,,USA,
18,89,109,1,6.93,1.0,Givaudan SA,Melinda French Gates,Cascade Investment LLC,USA,
19,90,110,2,3.04,0.0,Givaudan SA,Gartmore Investment Management plc,,UK,
20,91,111,3,5.04,0.0,Givaudan SA,MFS Investment Management,,USA,
21,92,112,4,5.06,0.0,Givaudan SA,Blackrock,,USA,
22,93,114,0,3.02,0.0,Lonza Group AG,Artisan Partners Limited Partnership,,USA,
23,94,115,1,9.67,0.0,Lonza Group AG,Blackrock,,USA,
24,103,129,0,33.33,0.0,Roche Holding AG,Novartis Holding AG,,Schweiz,
25,104,130,1,2.813125,0.0,Roche Holding AG,André Hoffmann,,Schweiz,
26,105,131,2,2.813125,1.0,Roche Holding AG,Marie-Anne Hoffmann,Artuma Holding AG,Schweiz,
27,106,132,3,2.813125,2.0,Roche Holding AG,Vera Michalski,,Schweiz,
28,107,133,4,2.813125,3.0,Roche Holding AG,Alexander Hoffmann,,Singapore,
29,108,134,5,2.813125,0.0,Roche Holding AG,Oeri Maja,,Schweiz,
30,109,135,6,2.813125,,Roche Holding AG,Frederic Hoffmann,,UK,
31,110,136,7,2.813125,,Roche Holding AG,Isabel Hoffmann,,UK,
32,111,137,8,2.813125,,Roche Holding AG,Lucas Hoffmann,,Schweiz,
33,112,138,9,2.813125,,Roche Holding AG,Marina Hoffmann,,Schweiz,
34,113,139,10,2.813125,,Roche Holding AG,Kasia Barbotin-Larrieu,,Schweiz,
35,114,140,11,2.813125,,Roche Holding AG,Tatiana Fabre,,Schweiz,
36,115,141,12,2.813125,,Roche Holding AG,Andreas Oeri,,Schweiz,
37,116,142,13,2.813125,,Roche Holding AG,Catherine Oeri,,Schweiz,
38,117,143,14,2.813125,,Roche Holding AG,Sabine Duschmalé,,Schweiz,
39,118,144,15,2.813125,,Roche Holding AG,Jörg Duschmalé,,Schweiz,
40,119,145,16,2.813125,,Roche Holding AG,Lukas Duschmalé,,Schweiz,
41,120,146,17,2.813125,,Roche Holding AG,Stiftung Wolf,,Schweiz,
42,184,263,0,5.5333333,0.0,SGS SA,Stichting Administratiekantoor Frère-Bourgeois,,Niederlande,
43,185,264,1,5.5333333,1.0,SGS SA,Paul Junior DESMARAIS,Serena Sàrl,Canada,
44,186,265,2,5.5333333,2.0,SGS SA,André DESMARAIS,URDAC,Canada,
45,187,266,3,3.02,0.0,SGS SA,Massachusetts Financial Services Company,,USA,
46,188,267,4,4.0,0.0,SGS SA,Blackrock,,USA,
47,199,282,0,3.02,0.0,LafargeHolcim Ltd,Norges Bank (the Central Bank of Norway),,Norway,
48,200,283,1,3.09,0.0,LafargeHolcim Ltd,Blackrock,,USA,
49,201,284,2,8.52,0.0,LafargeHolcim Ltd,"Schmidheiny, Thomas",,Schweiz,
50,202,285,3,3.1433334,0.0,LafargeHolcim Ltd,Stichting Administratiekantoor Frere-Bourgeois,,Niederlande,
51,203,286,4,3.1433334,1.0,LafargeHolcim Ltd,"Paul Desmarais Jr,.",Elliot Capital Sarl,Canada,
52,204,287,5,3.1433334,2.0,LafargeHolcim Ltd,Andre Desmarais,LTI One,Canada,
53,296,450,0,0.7525,0.0,UBS Group AG,Dodge & Cox International Stock Fund,,USA,
54,297,452,2,0.7525,0.0,UBS Group AG,Norges Bank (the Central Bank of Norway),,Norway,
55,298,455,5,3.03,0.0,UBS Group AG,Dodge & Cox,,USA,
56,299,456,6,3.05,0.0,UBS Group AG,MFS Investment Management,,USA,
57,300,457,7,4.99,0.0,UBS Group AG,Blackrock,,USA,
58,301,458,8,7.01,0.0,UBS Group AG,UBS Group AG,,Schweiz,
59,336,500,0,3.01,0.0,Nestlé AG,Nestlé S.A.,,Schweiz,
60,337,501,1,3.5496,0.0,Nestlé AG,"The Capital Group Companies, Inc.",,USA,
61,338,502,2,4.96,0.0,Nestlé AG,Blackrock,,USA,
62,347,525,0,4.99,0.0,Adecco Group AG,Silchester International Investors LLP,,UK,
63,348,526,1,5.19,0.0,Adecco Group AG,Blackrock,,Schweiz,
64,361,543,0,5.049,0.0,Zurich Insurance Group AG,"The Capital Group Companies, Inc.",,USA,
65,362,544,1,5.07,0.0,Zurich Insurance Group AG,Blackrock,,USA,
66,427,656,0,11.37,0.0,Swiss Re AG,Swiss Re AG,,Schweiz,
67,428,657,1,3.44,0.0,Swiss Re AG,ELM B.V.,,Niederlande,
68,429,658,2,5.05,0.0,Swiss Re AG,Blackrock,,Schweiz,
