ABB Ltd.,
Adecco Group AG,
Alcon Inc.,
Allreal Holding AG,
ALSO Holding AG,
ams AG,
ARYZTA AG,
Bâloise Holding AG,
Barry Callebaut AG,
Banque Cantonale Vaudoise,
BELIMO Holding AG,
BKW AG,
Bossard Holding AG,
Bucher Industries AG,
Burckhardt Compression Holding AG,
Cembra Money Bank AG,
Clariant AG,
Comet Holding AG,
Conzzeta AG,
Credit Suisse Group AG,
Dätwyler Holding AG,
DKSH Holding AG,
dormakaba Holding AG,
DUFRY AG,
Emmi AG,
Ems-Chemie Holding AG,
Georg Fischer AG,
Flughafen Zürich AG,
Forbo Holding AG,
Galenica AG,
GAM Holding AG,
Geberit AG,
Givaudan SA,
Helvetia Holding AG,
Huber+Suhner AG,
Implenia AG,
INFICON Holding AG,
Interroll Holding AG,
Intershop Holding AG,
Julius Bär Gruppe AG,
Jungfraubahn Holding AG,
Kardex AG,
Komax Holding AG,
Kühne + Nagel International AG,
LafargeHolcim Ltd,
Landis+Gyr Group AG,
LEM Holding SA,
Liechtensteinische Landesbank AG,
Logitech International S.A.,
Lonza Group AG,
Luzerner Kantonalbank,
Mobimo Holding AG,
Nestlé AG,
Novartis AG,
"OC Oerlikon Corporation AG, Pfäffikon",
Pargesa Holding SA,
Partners Group Holding AG,
PSP Swiss Property AG,
Roche Holding AG,
Schindler Holding AG,
Schweiter Technologies AG,
SFS Group AG,
SGS SA,
Siegfried Holding AG,
Sika AG,
SoftwareONE Holding AG,
Sonova Holding AG,
St.Galler Kantonalbank AG,
Stadler Rail AG,
Straumann Holding AG,
Sulzer AG,
Sunrise Communications Group AG,
Swiss Life Holding AG,
Swiss Prime Site AG,
Swiss Re AG,
Swisscom AG,
Tecan Group AG,
Temenos AG,
u-blox Holding AG,
UBS Group AG,
Valiant Holding AG,
Valora Holding AG,
VAT Group AG,
Vifor Pharma AG,
Vontobel Holding AG,
VZ Holding AG,
Zuger Kantonalbank AG,
Zurich Insurance Group AG,